k2,MeanSim,Meanerr,cv2Sim,cv2err
-2.0,0.5066622999999992,0.0013556459046110136,0.018636277569386357,0.000616289705667395
-1.8775510204081634,0.5059778000000001,0.0013043519685215221,0.017299378030358133,0.0005686970558124035
-1.7551020408163265,0.5062001000000007,0.001253172902286992,0.015954432304392505,0.0005212212688963274
-1.6326530612244898,0.5039801999999982,0.0012023871884527804,0.014817179742029275,0.0004814048604273373
-1.510204081632653,0.5029031000000022,0.0011424688925831816,0.013434575866899577,0.00043342053145935185
-1.3877551020408163,0.503678300000001,0.0011039792541314153,0.01250602122454836,0.0004014650994452091
-1.2653061224489797,0.5029842000000011,0.0010589386948435253,0.01153816561590467,0.0003683986351643542
-1.1428571428571428,0.5019641999999999,0.0010217808864174671,0.010786334343535741,0.00034288901525607313
-1.0204081632653061,0.5027641999999997,0.0009847290908744366,0.009986393224634944,0.0003159229117733377
-0.8979591836734695,0.5020570999999981,0.0009503675667428269,0.009327833920823824,0.00029386380772511184
-0.7755102040816326,0.5015466000000011,0.0009207573344875986,0.008773474348446369,0.0002753971542229313
-0.653061224489796,0.501510400000003,0.0008824105464008136,0.008059077106161874,0.0002517421043203191
-0.5306122448979593,0.5011401000000001,0.0008474476474396031,0.007444083983247247,0.00023151216765292005
-0.40816326530612246,0.5009842999999984,0.0008158381700477113,0.006903409357342596,0.00021383322601924322
-0.2857142857142858,0.5010173000000017,0.0007978311645329139,0.006601161629786094,0.00020399517806948524
-0.16326530612244894,0.5010509000000012,0.0007670678845541623,0.006101094125524817,0.00018779114430156124
-0.04081632653061229,0.501265200000003,0.0007368490970501851,0.005625042643309192,0.0001724527464033002
0.08163265306122458,0.5017973999999966,0.0007200226282713107,0.00535968535810881,0.00016394125572366565
0.204081632653061,0.5017360000000025,0.0006945881475385329,0.004988937096244512,0.000152096807356192
0.3265306122448979,0.5011609000000004,0.0006700031919455451,0.00465268017762707,0.00014140370328963455
0.44897959183673475,0.5001682999999981,0.0006539186473558667,0.004449579139627983,0.0001349685097645421
0.5714285714285712,0.5005257999999992,0.000631985071080976,0.004150156937865232,0.00012551469523355594
0.693877551020408,0.5005715,0.0006117242859775551,0.0038876129887395654,0.00011725888281665145
0.8163265306122449,0.5006797999999981,0.0005887517383897922,0.003599548940550872,0.0001082380260074302
0.9387755102040813,0.500260299999998,0.0005698807351263158,0.0033781559241292405,0.00010133256137762925
1.0612244897959182,0.5000074999999989,0.0005621169339852239,0.0032900622723915436,9.85916856195112e-05
1.183673469387755,0.5010287999999982,0.0005398556231214213,0.0030222730288207815,9.028455826104865e-05
1.306122448979592,0.5004892999999995,0.0005239054801838838,0.0028524635686589337,8.503664451129475e-05
1.4285714285714284,0.5006336,0.0005097234254769489,0.0026985658255858657,8.029417940178473e-05
1.5510204081632653,0.5006161000000016,0.0004950341066570774,0.0025454492133202677,7.558908963851357e-05
1.6734693877551021,0.5006528000000023,0.0004778068412081282,0.0023710201591798153,7.024576804660684e-05
1.7959183673469385,0.5002246000000063,0.00046790007804187184,0.0022776131521258206,6.739192306324005e-05
1.9183673469387754,0.5007668999999986,0.0004540285926781795,0.0021399271826650153,6.319506607574974e-05
2.040816326530612,0.5005082999999987,0.00043904397701099995,0.0020030754014044153,5.903557743164559e-05
2.163265306122449,0.5006009000000009,0.0004286124505884503,0.0019083152938954393,5.6162612833663924e-05
2.2857142857142856,0.5006282000000019,0.00041673082439319664,0.0018037836641024724,5.300040961681824e-05
2.408163265306122,0.5007523000000017,0.0004067303285891777,0.0017173982960050427,5.039285157551728e-05
2.5306122448979593,0.5010131999999988,0.00039421313834098193,0.0016116386361087458,4.72077001740483e-05
2.6530612244897958,0.5005559999999994,0.00038326215653172735,0.0015261258649545725,4.463829984081226e-05
2.775510204081632,0.5006990000000001,0.00037607944961970396,0.0014686204629080154,4.2913521972474054e-05
2.8979591836734695,0.5007982000000009,0.0003647330659848347,0.001380792992233164,4.02841984219549e-05
3.020408163265306,0.5005956000000005,0.00035873726866608724,0.0013368502336298291,3.8970946658621624e-05
3.1428571428571423,0.5008527999999982,0.000347459401456196,0.0012528288343517874,3.646426930050339e-05
3.2653061224489797,0.5006245000000017,0.0003424816523484031,0.0012182999850880586,3.543583178095668e-05
3.387755102040816,0.5009052999999993,0.000326125010175482,0.001103470622345139,3.202295897563516e-05
3.5102040816326525,0.5005208999999983,0.00032102257413602064,0.001070854657745976,3.1055674323585035e-05
3.63265306122449,0.500531099999998,0.0003158963601110898,0.0010368858010782625,3.004928353303659e-05
3.7551020408163263,0.5007264000000012,0.00030808560534267837,0.000985475095750618,2.8528155062808797e-05
3.8775510204081627,0.5008297999999991,0.00030314290470578875,0.000953714332438937,2.7589657685828517e-05
4.0,0.5011738999999997,0.00029267365810248247,0.0008877571890391575,2.5643779907981304e-05
